Name,Purpose,Qty,Total (USD),Unit Cost (USD),Link,Distributor
Connectors,Connect to different components using physical wires,10,$9.55,$0.9550,https://www.digikey.com/en/products?keywords=Connectors,Digi-Key
Tps62913,Low current buck converter converting 5V to 3.3V,2,$5.52,$2.7600,https://www.mouser.com/c/?q=Tps62913,Mouser
Lm70660,High Current Buck Converter that takes 48V and brings it down to 12V and 5V,2,$13.60,$6.8000,https://www.mouser.com/c/?q=Lm70660,Mouser
0805 4mOhm resistors,Current-sense resistors,10,$5.57,$0.5570,https://www.digikey.com/en/products?keywords=0805+4mOhm+resistors,Digi-Key
0805 54.9k Ohm resistors,"resistor connects from RT to AGND, helps with switching frequency",10,$0.37,$0.0370,https://www.digikey.com/en/products?keywords=0805+54.9k+Ohm+resistors,Digi-Key
0806 20.5kOhm resistors,En Vulo resistors,10,$0.34,$0.0340,https://www.digikey.com/en/products?keywords=0806+20.5kOhm+resistors,Digi-Key
0805 3.24kOhm resistor,Compensation capacitor for lm760660,10,$0.34,$0.0340,https://www.digikey.com/en/products?keywords=0805+3.24kOhm+resistor,Digi-Key
0805 1 Ohm resistor,Bootstrap resistor,10,$0.51,$0.0510,https://www.digikey.com/en/products?keywords=0805+1+Ohm+resistor,Digi-Key
0805 2.49kOhm resistor,feedback divider resistor,10,$0.34,$0.0340,https://www.digikey.com/en/products?keywords=0805+2.49kOhm+resistor,Digi-Key
0805 4.87kOhm resistor,Feedback divider resistor,10,$0.34,$0.0340,https://www.digikey.com/en/products?keywords=0805+4.87kOhm+resistor,Digi-Key
0805 52.3kOhm resistor,S-CONF resistor,10,$0.34,$0.0340,https://www.digikey.com/en/products?keywords=0805+52.3kOhm+resistor,Digi-Key
0805 31.6kOhm resistor,Resistor divider for feedback,10,$0.58,$0.0580,https://www.digikey.com/en/products?keywords=0805+31.6kOhm+resistor,Digi-Key
0805 100kOhm resistor,"UVLO resistor, pull up resistors, etc, to control current flow",25,$0.64,$0.0256,https://www.digikey.com/en/products?keywords=0805+100kOhm+resistor,Digi-Key
2.2uH inductor,Stores energy during switching and smooths current,3,$6.61,$2.2033,https://www.coilcraft.com/en-us/search/?text=2.2uH+inductor,Coilcraft
Ferrite Bead,Blocks high frequency noise,5,$1.55,$0.3100,https://www.digikey.com/en/products?keywords=Ferrite+Bead,Digi-Key
0805 470nF Ceramic Capacitor,Reduce low frequency output noise on the Tps62913,10,$1.24,$0.1240,https://www.digikey.com/en/products?keywords=0805+470nF+Ceramic+Capacitor,Digi-Key
0806 0.1uF Ceramic Capacitor,High frequency bypass capacitors,10,$1.07,$0.1070,https://www.digikey.com/en/products?keywords=0806+0.1uF+Ceramic+Capacitor,Digi-Key
0805 0.1uF Ceramic Capacitor,Decouples VDDA analog bias rail,10,$0.72,$0.0720,https://www.digikey.com/en/products?keywords=0805+0.1uF+Ceramic+Capacitor,Digi-Key
0805 4.7uF Ceramic Capacitor,bypass/decoupling capacitor for VCC,5,$1.60,$0.3200,https://www.digikey.com/en/products?keywords=0805+4.7uF+Ceramic+Capacitor,Digi-Key
0805 22uf Ceramic Capacitor,Smooths output voltage,10,$3.74,$0.3740,https://www.digikey.com/en/products?keywords=0805+22uf+Ceramic+Capacitor,Digi-Key
1210 47uF Ceramic Capacitors,Smooths output voltage from regulator,15,$8.42,$0.5613,https://www.digikey.com/en/products?keywords=1210+47uF+Ceramic+Capacitors,Digi-Key
0805 10uF Ceramic Capacitors,Input capacitors to provide short bursts of current to regulator,10,$3.48,$0.3480,https://www.digikey.com/en/products?keywords=0805+10uF+Ceramic+Capacitors,Digi-Key
1210 4.7 uF Ceramic Capacitors,Input capacitors to provide short burst of current,10,$8.49,$0.8490,https://www.digikey.com/en/products?keywords=1210+4.7+uF+Ceramic+Capacitors,Digi-Key
0805 150pf Ceramic Capacitors,"Compensation capacitors, helps buck converter stay stable from high frequency noise",10,$0.85,$0.0850,https://www.digikey.com/en/products?keywords=0805+150pf+Ceramic+Capacitors,Digi-Key
1210 22uF Ceramic Capacitor,Gives high frequency noise to GND,10,$4.77,$0.4770,https://www.digikey.com/en/products?keywords=1210+22uF+Ceramic+Capacitor,Digi-Key
0805 10nF Ceramice Capacitors,bypass and filtering + provide positive power supply through VCC,10,$0.60,$0.0600,https://www.digikey.com/en/products?keywords=0805+10nF+Ceramice+Capacitors,Digi-Key
0805 0.047 uF Ceramic Capacitor,Boostrap capacitor for buck converter,10,$1.47,$0.1470,https://www.digikey.com/en/products?keywords=0805+0.047+uF+Ceramic+Capacitor,Digi-Key
0805 2200pF SMD Ceramic Capacitor,Decoupling and filtering for 5v rail,10,$0.39,$0.0390,https://www.digikey.com/en/products?keywords=0805+2200pF+SMD+Ceramic+Capacitor,Digi-Key
