"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"3.3V_Connector1,5V_Connector1,12V_Connector1,ESC_Connector1,ESC_Connector2,ESC_Connector3,ESC_Connector4,Tether_Connector1","8","Conn_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"C1","1","2.2nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CBOOT1","1","47nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CBOOT2,CVCC2","2","4.7","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CCOMP1,CCOMP2","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CF1,CF2","2","22uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"CHF1,CHF2","2","150pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CIN1,CIN2,CIN3,CIN4,CIN5,CIN6,CIN7,CIN8","8","4.7µF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"CIN9,CIN10","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"COUT1,COUT2,COUT3,COUT4","4","47uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"COUT5,COUT6,COUT7,COUT8","4","47","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"COUT9,COUT10,COUT11","3","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CVCC1","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CVDDA1","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"CVDDA2","1","0.1","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C_IN-HF1,C_IN-HF2","2","0.1 µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C_NR/SS1","1","470nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"FB1","1","FerriteBead","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"L1,Lo1","2","2.2uH","","","","Coilcraft:IND_XGL4030_COC-M",""
"Lo2","1","3.3","","","","Coilcraft:IND_XGL4030_COC-M",""
"R1","1","100kF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2","1","31.6kF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3,R6,REN1,REN4","4","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4","1","31.6k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R5","1","52.3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R7","1","4.87k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8","1","2.49k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RBOOT1,RBOOT2","2","1Ohm","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RCNFG1,RCNFG2","2","29.4K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RCOMP1","1","3.24kF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RCOMP2","1","3.24k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"REN2,REN3","2","20.5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RRT1","1","54.9K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RRT2","1","R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RS1","1","4mQ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RS2","1","5m","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1,U2","2","LM70660RRXR","","","","Lm70660:RRX0029B-MFG","https://www.ti.com/lit/gpn/lm70660"
"U3","1","TPS62913","","","","Package_DFN_QFN:Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm","https://www.ti.com/lit/ds/symlink/tps62912.pdf"
